,title, salary, cop_name, cop_info, exprence, tags, welfare
312," Shanghai, Xuhui District, Caohejing", 20-40K 15 salary, SenseTime, Computer software has been listed 1000-9999 people, 3-5 years undergraduate, Backend development," Stock options, supplementary medical insurance, afternoon tea with snacks, holiday benefits, regular physical examination, overtime allowance, food package, housing allowance, year-end bonus, paid annual leave, meal allowance, communication allowance, five insurances and one housing fund, transportation allowance"
313, Shanghai·Minhang District·Hechuan Road, 18-35K 14 salary, National Auto Intelligent Control, Electronics/semiconductor/integrated circuit A round 100-499 people, Unlimited undergraduate experience, distributed technology," Supplementary medical insurance, meal allowance, regular physical examination, paid sick leave, holiday benefits, senior leave, five social insurances and one housing fund, paid annual leave, technology sharing session, afternoon tea with snacks, year-end bonus, communication subsidy, transportation subsidy"
314, Shenzhen·Nanshan District·Science and Technology Park, 20-30K, Tamron Blockchain, Computer software unfinanced 20-99 people, 3-5 years undergraduate, C/C++,
315,Guangzhou·Haizhu District·Chigang, 8-13K, Guangzhou Jingling Technology, Enterprise service unfinanced 20-99 people, Unlimited undergraduate experience, Golang," Paid annual leave, regular physical examination, five insurances and one housing fund, employee travel, holiday benefits, afternoon tea with snacks"
316, Changsha Yuelu District Guansha Ridge, 10-15K·14 salary, Touch Sea Technology, Data service A round 20-99 people, 3-5 years undergraduate, distributed technology," Afternoon tea with snacks, year-end bonus, employee travel, five insurances and one housing fund, stock options, skill improvement, holiday benefits, old drivers lead the way, paid annual leave"
317, Shenzhen, 15-30K, Shenzhen Youxin Electronics has..., Electronics/semiconductor/integrated circuit unfinanced 100-499 people, 1-3 years undergraduate, distributed technology," Five social insurances and one housing fund, supplementary medical insurance, year-end bonus, paid annual leave, employee travel, regular physical examination, holiday benefits, afternoon tea with snacks, attendance bonus"
318, Shenzhen · Futian District · Meilin, 12-20K, Seventh, Advertising and Marketing B round 100-499 people, 1-3 years undergraduate, Gin,"Employee travel, holiday benefits, afternoon tea with snacks, transportation subsidies, five social insurances and one housing fund, communication subsidies, holiday gifts, supplementary medical insurance, paid annual leave, stock options, regular medical examinations"
319, Shenzhen·Nanshan District·Science and Technology Park, 13-20K·13 Salary, Tongjun Network, Game Angel Wheel 20-99 people, 3-5 years undergraduate, distributed technology," Regular physical examination, supplementary medical insurance, paid annual leave, year-end bonus, five insurances and one housing fund"
320," Shanghai, Xuhui District, Caohejing", 30-50K 13 salary, Shanghai Xinxiu Network Technology..., The game is not financed 20-99 people, 5-10 years junior college, Backend development," Five insurances and one housing fund, employee travel, communication subsidies, holiday benefits, housing subsidies, afternoon tea with snacks, full attendance award, paid annual leave, transportation allowance, year-end bonus"
321, Hangzhou · Qiantang District · Poplar, 14-28K, Haimeng Education, Consulting Angel Wheel 20-99 people, 1-3 years undergraduate, Backend development," Paid annual leave, full attendance bonus, five insurances and one housing fund, holiday benefits, afternoon tea with snacks"
322, Nanjing·Gulou District·Wanda Plaza, 10-15K, Shanghai Boundary Intelligent Technology,Internet A round 20-99 people, 1-3 years undergraduate, Java," Regular physical examination, afternoon tea with snacks, year-end bonus, five social insurances and one housing fund, holiday benefits, employee travel, paid annual leave, stock options, supplementary medical insurance"
323, Shenzhen·Nanshan District·Science and Technology Park, 30-45K·14 salary, Yunmo Technology, E-commerce does not require financing 100-499 people, 1-3 years undergraduate, Java," Transportation subsidy, ability improvement materials, stock options, five insurances and one housing fund, snacks, afternoon tea, employee travel, paid annual leave, holiday benefits, paid sick leave, year-end bonus"
324, Suzhou·Suzhou Industrial Park·Hudong, 15-25K, sum, Government/Utilities Unfinanced 500-999 People, Unlimited experience Unlimited education, distributed technology," Paid annual leave, holiday benefits, afternoon tea with snacks, employee travel, five social insurances and one housing fund, year-end bonus"
325, Changchun·Chaoyang District·High-tech Development Zone, 8-13K·13 salary, Jiacheng Information, Computer software has been listed 500-999 people, 1-3 years undergraduate, Java,"Free shuttle bus, year-end bonus, regular medical examination, transportation allowance, employee travel, paid annual leave, holiday benefits, supplementary medical insurance, meal allowance, afternoon tea with snacks, five social insurances and one housing fund"
326, Shenyang Hunnan District Baita, 15-20K, Interstellar Mathematics, The Internet does not require financing for 0-20 people, 1-3 years college, Go," Afternoon tea with snacks, holiday benefits, regular physical examination, five social insurances and one housing fund, supplementary medical insurance, paid annual leave, overtime allowance, year-end bonus"
327," Beijing, Haidian District, Shangdi", 20-40K 15 salary, Hunan Competitive Education, Training institutions do not need to finance 100-499 people, 3-5 years undergraduate, data structure," Five insurances and one housing fund, overtime allowance, paid annual leave, communication allowance, supplementary medical insurance, housing allowance, year-end bonus, afternoon tea with snacks, employee travel, regular medical examination"
328, Hangzhou·Yuhang District·Wuchang, 20-35K, Zhongdao Cloud Mine, Data service unfinanced 20-99 people, 3-5 years junior college, Python,
329, Shenzhen·Nanshan District·Science and Technology Park, 15-30K, mountain stop river trip, Enterprise service 0-20 people, 5-10 years junior college, Microservice Architecture,
330,Changsha Yuelu District Guansha Ridge, 15-25K 14 salary, Touch Sea Technology, Data service A round 20-99 people, 5-10 years undergraduate, distributed technology," Year-end bonus, holiday benefits, employee travel, paid annual leave, stock options, five insurances and one housing fund, snacks, afternoon tea, skill improvement, old drivers lead the way"
331, Shanghai·Pudong New Area·Zhangjiang, 10-15K, Shanghai Boundary Intelligent Technology, Internet A round 20-99 people, 1-3 years undergraduate, Java," Holiday benefits, stock options, year-end bonus, employee travel, supplementary medical insurance, five social insurances and one housing fund, paid annual leave, regular physical examination, afternoon tea with snacks"
332," Beijing, Haidian District, Shangdi", 20-40K 15 salary, Hunan Competitive Education, Training institutions do not need to finance 100-499 people, 3-5 years undergraduate, data structure," Five insurances and one housing fund, overtime allowance, paid annual leave, communication allowance, supplementary medical insurance, housing allowance, year-end bonus, afternoon tea with snacks, employee travel, regular medical examination"
333, Hangzhou·Yuhang District·Wuchang, 20-35K, Zhongdao Cloud Mine, Data service unfinanced 20-99 people, 3-5 years junior college, Python,
334,"Shanghai, Xuhui District, Caohejing", 20-40K 13 salary, Shanghai Xinxiu Network Technology..., The game is not financed 20-99 people, 3-5 years junior college, game development," Holiday benefits, year-end bonus, housing subsidy, full attendance award, employee travel, communication subsidy, transportation subsidy, paid annual leave, five insurances and one housing fund, snacks and afternoon tea"
335, Shenzhen·Nanshan District·Science and Technology Park, 15-30K, mountain stop river trip, Enterprise service 0-20 people, 5-10 years junior college, Microservice Architecture,
336, Shenyang Hunnan District Baita, 15-20K, Interstellar Mathematics, The Internet does not require financing for 0-20 people, 1-3 years college, Go," Afternoon tea with snacks, holiday benefits, regular physical examination, five social insurances and one housing fund, supplementary medical insurance, paid annual leave, overtime allowance, year-end bonus"
337, Shenzhen·Nanshan District·Science and Technology Park, 10-15K·13 Salary, Mingjing Technology, The game is not financed 20-99 people, 1-3 years undergraduate, Golang," Paid annual leave, holiday benefits, five insurances and one housing fund, regular physical examination, overtime allowance, stock options, attendance bonus, afternoon tea with snacks, year-end bonus, employee travel"
338," Shanghai, Xuhui District, Caohejing",18-35K 13 salary, Shanghai Xinxiu Network Technology..., The game is not financed 20-99 people, 3-5 years junior college, Golang," Year-end bonus, transportation subsidy, holiday benefits, paid annual leave, housing subsidy, five social insurances and one housing fund, snacks, afternoon tea, employee travel, communication subsidy, full attendance award"
339, Shanghai · Baoshan District · Songnan, 20-30K, Trunkey Creation Flag, Computer software has been listed 100-499 people, 10+ years undergraduate, Backend development," Year-end bonus, five social insurances and one housing fund, employee travel, holiday benefits, stock options, afternoon tea with snacks, paid annual leave"
340, Shanghai Xuhui District Xujiahui, 20-40K 14 salary, National Auto Intelligent Control, Electronics/semiconductor/integrated circuit A round 100-499 people, Unlimited undergraduate experience, distributed technology," Year-end bonus, paid sick leave, holiday benefits, meal allowance, supplementary medical insurance, communication allowance, regular physical examination, technology sharing session, afternoon tea with snacks, transportation allowance, senior leave, paid annual leave, five insurances and one housing fund"
341," Beijing, Chaoyang District, Sanlitun", 15-25K 17 salary, Onchain, Internet B round 100-499 people, Master's degree within 1 year,distributed technology," Employee travel, paid annual leave, holiday benefits, five social insurances and one housing fund, supplementary medical insurance, regular physical examination, stock options, afternoon tea with snacks, senior leave"
342," Shanghai, Xuhui District, Caohejing", 25-40K 13 salary, Shanghai Xinxiu Network Technology..., The game is not financed 20-99 people, 5-10 years of education is not limited, distributed technology," Paid annual leave, holiday benefits, employee travel, afternoon tea with snacks, transportation subsidy, communication subsidy, year-end bonus, housing subsidy, full attendance bonus, five social insurances and one housing fund"
343, Shenzhen·Baoan District·Xixiang, 25-45K, Node interaction, Internet A round 20-99 people, 3-5 years undergraduate, distributed technology," Five insurances and one housing fund, overtime allowance, regular physical examination, full attendance award"
344, Zhengzhou Jinshui District Qiansheng Plaza, 10-15K, new way of education, Training institutions do not need to finance 1000-9999 people, 1-3 years undergraduate, Go," Transportation allowance, year-end bonus, five insurances and one housing fund, afternoon tea with snacks, overtime allowance, employee travel, paid annual leave, supplementary medical insurance, communication allowance"
345, Shenzhen Nanshan District Nanshan Center, 7-12K·13 salary,non-zero infinite, Mobile Internet A round 0-20 people, 1-3 years undergraduate, GO," Five insurances and one housing fund, employee travel, supplementary medical insurance, afternoon tea with snacks, stock options, double pay performance at the end of the year, paid annual leave, holiday benefits, year-end bonuses, regular physical examinations"
346, Shanghai·Pudong New Area·Zhangjiang, 20-25K, Thundersoft, Computer software has been listed 1000-9999 people, 1-3 years college, Linux," Attendance bonus, meal allowance, overtime allowance, housing allowance, paid annual leave, holiday benefits, year-end bonus, regular physical examination, stock options, five insurances and one housing fund, employee travel, transportation allowance"
347, Beijing, 25-50K 15 salary, Know almost, Mobile Internet has been listed 1000-9999 people, 5-10 years undergraduate, Linux," Supplementary medical insurance, year-end bonus, regular physical examination, paid annual leave, employee travel, stock options, afternoon tea with snacks, five social insurances and one housing fund, holiday benefits, food package"
348, Shenzhen Nanshan District Qianhai, 20-40K, AfterShip, Internet B round 100-499 people, 3-5 years of education is not limited, distributed technology,"Five social insurances and one housing fund, afternoon tea with snacks, holiday benefits, study fund, year-end bonus, employee travel, meal allowance, paid annual leave"
349, Shanghai·Minhang District·Hechuan Road, 14-28K, Shark Bay Technology, Intelligent hardware A round 20-99 people, 3-5 years undergraduate, Java, Five insurances and one housing fund
350, Shanghai Pudong New Area Lujiazui, 15-25K, Tongjun Network, Game Angel Wheel 20-99 people, Unlimited experience Unlimited education, distributed technology," Regular physical examination, supplementary medical insurance, paid annual leave, year-end bonus, five insurances and one housing fund"
351," Beijing, Haidian District, Zhichun Road", 18-35K 16 salary, SmartX, Computer software C round 100-499 people, Unlimited experience Unlimited education, golang," Five social insurances and one housing fund, holiday benefits, afternoon tea with snacks, communication subsidy, meal subsidy, employee travel, supplementary medical insurance, paid annual leave, year-end bonus"
352, Shenzhen · Futian District · Meilin, 15-30K, Shenzhen Youxin Electronics has..., Electronics/semiconductor/integrated circuit unfinanced 100-499 people, 1-3 years undergraduate, Microservice Architecture,"Paid annual leave, full attendance bonus, five insurances and one housing fund, regular physical examination, employee travel, supplementary medical insurance, holiday benefits, afternoon tea with snacks, year-end bonus"
353, Guangzhou, 15-20K·14 salary, Cloud Tibetan data, The Internet does not require financing for 0-20 people, 1-3 years undergraduate, Go," Employee travel, year-end bonus, holiday benefits, paid annual leave, afternoon tea with snacks, regular physical examination, meal allowance, food package, transportation allowance, five insurances and one housing fund"
354, Shanghai·Pudong New Area·Zhangjiang, 25-35K 15 salary, Mingtu Tiancheng, Information security does not require financing 100-499 people, 3-5 years undergraduate, distributed technology," Holiday benefits, paid annual leave, afternoon tea with snacks, employee travel, five social insurances and one housing fund, year-end bonus, regular physical examination, meal allowance"
355, Beijing·Haidian District·Peony Garden, 20-40K, Long Chuang Yue Dong, The game does not require financing 100-499 people, 3-5 years junior college, docker," Five insurances and one housing fund, year-end bonus, afternoon tea with snacks, employee travel, regular physical examination, supplementary medical insurance, holiday benefits, food package, transportation allowance, paid annual leave"
356, Shenzhen Nanshan District University Town, 15-30K, Pear,Operator/value-added service A round 20-99 people, 3-5 years undergraduate, Go," Afternoon tea with snacks, holiday benefits, employee travel, five social insurances and one housing fund, paid annual leave"
357, Shanghai·Pudong New Area·Zhangjiang, 20-40K 13 salary, Xianfeng Evergreen Investment Consulting, The fund has not financed 20-99 people, Unlimited undergraduate experience, go," Year-end bonus, meal allowance, five insurances and one housing fund, communication allowance, supplementary medical insurance, stock options, afternoon tea with snacks, holiday benefits, employee travel, regular medical examination, paid annual leave"
358, Shenzhen, 15-25K, Impex, Advertising Marketing Unfinanced 100-499 People, 1-3 years undergraduate, Backend development," Holiday benefits, employee travel, regular physical examination, stock options, afternoon tea with snacks, five social insurances and one housing fund, paid annual leave"
359, Beijing · Dongcheng District · Jianguomen, 4-5K, Huashun Xin'an Technology, Information Security C round 100-499 people, Unlimited undergraduate experience, Backend development," Supplementary medical insurance, regular physical examination, stock options, holiday benefits, five insurances and one housing fund, overtime allowance, year-end bonus, afternoon tea with snacks, paid annual leave"
360,Shenzhen Nanshan District Qianhai, 25-40K 14 salary, AfterShip, Internet B round 100-499 people, 3-5 years undergraduate, container technology," Paid annual leave, meal allowance, afternoon tea with snacks, five social insurances and one housing fund, study fund, employee travel, holiday benefits, year-end bonus"
361, Shenzhen, 15-25K 13 salary, Tenpay, Computer software unfinanced 100-499 people, 3-5 years junior college, golang," Paid annual leave, holiday benefits, five insurances and one housing fund, year-end bonus, overtime allowance"
362, Shanghai·Pudong New Area·Zhangjiang, 25-50K 15 salary, Mingtu Tiancheng, Information security does not require financing 100-499 people, 3-5 years undergraduate, Network protocol," Employee travel, paid annual leave, holiday benefits, meal allowance, year-end bonus, five social insurances and one housing fund, regular physical examination, afternoon tea with snacks"
363, Hangzhou Binjiang District Changhe, 15-25K, Baizhe Technology, Computer software 20-99 people, 3-5 years undergraduate, data structure, Five insurances and one housing fund
364, Shanghai·Changning District·Beixinjing, 25-50K 13 salary, good deal, E-commerce C round 1000-9999 people, 3-5 years undergraduate, distributed technology,"Paid annual leave, stock options, afternoon tea with snacks, five social insurances and one housing fund, employee travel, year-end bonus"
365, Hangzhou·Yuhang District·Wuchang, 11-22K·13 Salary, Harmony Cloud, Computer software B round 100-499 people, 1-3 years undergraduate, container technology," Transportation allowance, full attendance bonus, five social insurances and one housing fund, supplementary medical insurance, afternoon tea with snacks, paid annual leave, holiday benefits, year-end bonus, stock options, employee travel, meal allowance, regular medical examination, communication allowance"
366, Xi'an Yanta District Greenland Century City, 18-35K 16 salary, Netcore Technology, Internet unfinanced 100-499 people, 3-5 years undergraduate, Microservice Architecture," Five insurances and one housing fund, snacks, afternoon tea, holiday benefits, transportation subsidies, regular physical examinations, year-end bonuses, meal allowances, stock options, employee travel, paid annual leave, supplementary medical insurance"
367, Guangzhou·Tianhe District·Zhujiang New Town, 12-18K·13 Salary, Zhongke Intelligent Blockchain, Internet unfinanced 20-99 people, 1-3 years undergraduate, distributed technology,"High commission, regular physical examination, year-end bonus, five insurances and one housing fund, paid annual leave, afternoon tea with snacks, professional training, stock options, holiday benefits, employee travel"
368, Beijing · Xicheng District · Xizhimen, 25-50K 13 salary, Wofeng Technology, Internet C round 500-999 people, 3-5 years undergraduate, Java," Five insurances and one housing fund, meal allowance, communication allowance, transportation allowance, stock option, full attendance bonus, holiday benefit, overtime allowance, paid annual leave, employee travel, year-end bonus"
369, Shanghai·Hongkou District·Sichuan North Road, 12-24K, wangda software, Computer software has been listed 1000-9999 people, Unlimited undergraduate experience, distributed technology," Five insurances and one housing fund, free shuttle bus, afternoon tea with snacks, supplementary medical insurance, holiday benefits, paid annual leave, year-end bonus"
370, Hangzhou Binjiang District Changhe, 15-25K 14 salary, Chain, Internet does not require financing 20-99 people, Unlimited undergraduate experience, Backend development," Stock options, paid annual leave, year-end bonus, employee travel, five insurances and one housing fund"
371, Beijing·Chaoyang District·Wangjing, 30-60K 16 salary, cloud account,Mobile Internet C round 500-999 people, 3-5 years undergraduate, pay," Regular physical examination, stock options, supplementary medical insurance, five insurances and one housing fund, housing allowance, year-end bonus, paid annual leave"
372, Beijing Chaoyang District Tuanjie Lake, 30-50K 13 salary, Chuanyang Technology, Internet does not require financing 20-99 people, 3-5 years undergraduate, Multithreading," Regular physical examination, afternoon tea with snacks, holiday benefits, paid annual leave, year-end bonus, five social insurances and one housing fund"
373, Shanghai · Jing'an District · Wenshui Road, 18-30K 14 salary, Yaoyan Intelligence, Medical and Health B round 100-499 people, 3-5 years junior college, Go," Paid annual leave, employee travel, five social insurances and one housing fund, supplementary medical insurance, holiday benefits, year-end bonus, meal allowance, regular physical examination, afternoon tea with snacks"
374, Jiangmen, 5-10K," Octopus Technology Co., Ltd.", Computer software does not require financing for 0-20 people, 1-3 years college, golang," Holiday benefits, employee travel, paid annual leave, full attendance award"
375, Shanghai·Pudong New Area·Zhangjiang, 15-30K, Cloud Cong Technology, Computer software has been listed 1000-9999 people, Unlimited undergraduate experience,container technology," Paid annual leave, five social insurances and one housing fund, holiday benefits, free shuttle bus, afternoon tea with snacks, year-end bonus, meal allowance"
376, Shanghai · Jing'an District · Wenshui Road, 18-28K, Yaoyan Intelligence, Medical and Health B round 100-499 people, 3-5 years undergraduate, golang," Employee travel, five social insurances and one housing fund, supplementary medical insurance, regular physical examination, afternoon tea with snacks, year-end bonus, meal allowance, holiday benefits, paid annual leave"
377, Shenzhen Nanshan District University Town, 15-30K, Pear, Operator/value-added service A round 20-99 people, 3-5 years undergraduate, Shell," Holiday benefits, employee travel, paid annual leave, afternoon tea with snacks, five social insurances and one housing fund"
378," Dalian, Ganjingzi District, High-tech Park", 20-40K, Ninestar Technology, Internet unfinanced 20-99 people, 3-5 years undergraduate, Java," Year-end bonus, overtime allowance, regular physical examination, supplementary medical insurance, quarterly team building, holiday benefits, paid annual leave, afternoon tea with snacks, five insurances and one housing fund"
379, Chengdu·Wuhou District·New Convention and Exhibition Center, 20-40K 13 salary, Legou Technology, The game does not require financing 100-499 people, 3-5 years undergraduate,Linux," Year-end bonus, employee travel, supplementary medical insurance, meal allowance, regular physical examination, transportation allowance, snack afternoon tea, holiday benefits, five insurances and one housing fund, paid annual leave"
380," Beijing, Haidian District, Zhichun Road", 55-85K 17 salary, Teranobu, Internet finance does not require financing for 100-499 people, 5-10 years undergraduate, Linux," Regular physical examination, five insurances and one housing fund, paid annual leave, overtime allowance, stock options, afternoon tea with snacks, year-end bonus"
381, Nanjing·Yuhuatai District·Nanjing South Railway Station, 20-40K 14 salary, Huawei," Computer software does not require financing for more than 10,000 people", Unlimited undergraduate experience, golang," Meal allowance, regular physical examination, employee travel, year-end bonus, afternoon tea with snacks, holiday benefits, stock options, overtime allowance, supplementary medical insurance, five social insurances and one housing fund"
382," Shanghai, Xuhui District, Caohejing", 20-30K 13 salary, I don't have internet, Game Unfinanced 100-499 Players, 1-3 years undergraduate, data structure,"Departmental team building, employee travel, company restaurant, company team building, five social insurances and one housing fund, snacks, afternoon tea, meal allowance, paid annual leave, audio-visual entertainment, monthly birthday party, year-end bonus, holiday benefits, regular medical examination"
383, Shenzhen·Nanshan District·Science and Technology Park, 13-25K·13 Salary, CLP Jinxin," Computer software does not require financing for more than 10,000 people", 3-5 years junior college, distributed technology," Five social insurances and one housing fund, supplementary medical insurance"
384," Shanghai, Xuhui District, Caohejing", 35-65K 15 salary, FunPlus, Game B round 1000-9999 people, 5-10 years undergraduate, Shell," Meal allowance, afternoon tea with snacks, holiday benefits, five social insurances and one housing fund, overtime allowance, supplementary medical insurance, employee travel, stock options, regular medical examination, transportation allowance, year-end bonus, paid annual leave"
385, Shanghai·Changning District·Xianxia, 25-50K 16 salary, quick worker," The social network has been listed with more than 10,000 people", 3-5 years undergraduate, Microservice Architecture," Supplementary medical insurance, year-end bonus, paid annual leave, regular physical examination, five insurances and one housing fund, stock options, holiday benefits"
386, Shanghai·Songjiang District·Songjiang University Town,10-15K·13 Salary, polyplex, Intelligent hardware angel wheel 20-99 people, Unlimited undergraduate experience, data structure," Employee travel, paid annual leave, year-end bonus, five insurances and one housing fund, regular physical examination, holiday benefits"
387, Quzhou·Kecheng·City Government, 11-20K, Sapphire Technology, Computer software 0-20 people, 3-5 years undergraduate, data structure,
388, Shenzhen·Nanshan District·Science and Technology Park, 20-40K 14 salary, FITURE, Internet B round 1000-9999 people, 3-5 years undergraduate, Microservice Architecture," Holiday benefits, employee travel, afternoon tea with snacks, paid annual leave, regular physical examination, five insurances and one housing fund"
389, Huizhou·Huicheng District·Henan Bank, 15-16K, Zhunda Information, Communication/Network Equipment Unfinanced 1000-9999 Persons, 1-3 years college, container technology," Communication subsidy, meal subsidy, holiday benefits, five social insurances and one housing fund, transportation subsidy"
390, Shanghai · Yangpu District · Wujiaochang, 22-40K 15 salary, Beijing ByteDance," Mobile Internet D round and above more than 10,000 people", Current/Fresh Undergraduate, Microservice Architecture,"Supplementary medical insurance, holiday benefits, regular physical examination, meal allowance, Didi taxi, five insurances and one housing fund, paid annual leave, stock options, overtime allowance, housing allowance, afternoon tea with snacks, year-end bonus, free gym"
391, Nanjing · Jianye District · Olympic Sports, 15-23K·13 Salary, Berry wins, Internet finance unfinanced 1000-9999 people, 3-5 years junior college, golang," Five insurances and one housing fund, paid annual leave, housing subsidy, afternoon tea with snacks, year-end bonus, employee travel, holiday benefits"
392, Shenzhen·Nanshan District·Science and Technology Park, 15-25K 13 salary, Tian Kun, Game Angel Wheel 20-99 people, 1-3 years of education is not limited, Beego," Holiday benefits, afternoon tea with snacks, full attendance bonus, five social insurances and one housing fund, supplementary medical insurance, paid annual leave, employee travel, transportation allowance, stock options, overtime allowance, regular physical examination, year-end bonus"
393, Beijing, 20-40K 16 salary, Baidu," More than 10,000 people have been listed on the Internet", 3-5 years undergraduate, data structure,"Housing subsidy, afternoon tea with snacks, regular physical examination, entertainment and fitness, transportation subsidy, communication subsidy, supplementary medical insurance, overtime subsidy, employee travel, year-end bonus, paid annual leave, holiday benefits, five social insurances and one housing fund, meal subsidy, free shuttle bus"
394, Shenzhen·Nanshan District·Science and Technology Park, 30-50K 14 salary, Yunmo Technology, E-commerce does not require financing 100-499 people, 1-3 years undergraduate, golang," Transportation allowance, holiday benefits, paid sick leave, year-end bonus, employee travel, five insurances and one housing fund, ability improvement materials, stock options, paid annual leave, afternoon tea with snacks"
395, Shanghai Yangpu District New Jiangwan City, 20-40K 14 salary, everyone video, Internet C round 100-499 people, 3-5 years undergraduate, message queue," Employee travel, year-end bonus, overtime allowance, five insurances and one housing fund, full attendance bonus, holiday benefits, paid annual leave, afternoon tea with snacks, regular physical examination"
396, Shenzhen, 20-30K 14 salary, come to find data, Internet does not require financing 20-99 people, 3-5 years undergraduate, golang," Paid annual leave, holiday benefits, year-end bonus, afternoon tea with snacks, five social insurances and one housing fund"
397,Shenzhen, 15-30K, Xiaobu Network, Mobile Internet B round 100-499 people, 1-3 years undergraduate, Backend development," Employee travel, holiday benefits, stock options, paid sick leave, afternoon tea with snacks, paid annual leave, regular physical examination, year-end bonus, five insurances and one housing fund"
398, Shanghai·Minhang District·Hongqiao, 20-30K 14 salary, Book Chasing Artifact, Internet does not require financing 100-499 people, 3-5 years undergraduate, data structure," Overtime allowance, paid annual leave, regular physical examination, five insurances and one housing fund, holiday benefits, year-end bonus, employee travel"
399, Hangzhou, 13-25K, Hangzhou Multi-Association, Computer software A round 20-99 people, 1-3 years undergraduate, golang," Stock options, five insurances and one housing fund, holiday benefits, communication subsidies, paid annual leave, snacks, afternoon tea, transportation subsidies, meal subsidies, employee travel, year-end bonuses"
400, Guangzhou·Haizhu District·Chigang, 16-20K, Guangzhou Jingling Technology, Enterprise service unfinanced 20-99 people, 3-5 years undergraduate, Linux," Employee travel, five social insurances and one housing fund, paid annual leave, holiday benefits, regular physical examination, afternoon tea with snacks"
401,Guangzhou·Tianhe District·Zhujiang New Town, 15-25K 13 salary, Zhongke Intelligent Blockchain, Internet unfinanced 20-99 people, 3-5 years undergraduate, distributed technology," High commission, year-end bonus, paid annual leave, stock options, employee travel, holiday benefits, afternoon tea with snacks, regular physical examination, professional training, five insurances and one housing fund"
402, Shenzhen·Nanshan District·Science and Technology Park, 15-20K, Public Cloud Network, Computer services do not require financing for 100-499 people, 1-3 years college, Linux," Holiday benefits, stock options, paid annual leave, transportation allowance, communication allowance, year-end bonus, employee travel"
403, Shenzhen·Nanshan District·Shekou, 14-16K, Yida Information, Computer software does not require financing 1000-9999 people, 3-5 years undergraduate, Python," Paid annual leave, regular physical examination, overtime allowance, supplementary medical insurance, five social insurances and one housing fund, holiday benefits"
404, Shanghai, 25-50K 14 salary, cycle intelligence, Computer software B round 100-499 people, 3-5 years undergraduate, Java,"Year-end bonus, gym, holiday benefits, supplementary medical insurance, travel allowance, stock options, overtime allowance, regular physical examination, paid annual leave, snacks and afternoon tea, employee travel, five insurances and one housing fund"
405, Shanghai·Pudong New Area·Zhangjiang, 20-40K 13 salary, Net Fox, The game does not require financing for 20-99 players, 3-5 years undergraduate, container technology," Employee travel, paid annual leave, afternoon tea with snacks, five social insurances and one housing fund, meal allowance, holiday benefits"
406, Shenzhen·Baoan District·Xixiang, 25-50K, Xiaobu Network, Mobile Internet B round 100-499 people, 3-5 years undergraduate, Backend development," Paid sick leave, five insurances and one housing fund, holiday benefits, afternoon tea with snacks, employee travel, stock options, year-end bonus, paid annual leave, regular medical examination"
407, Beijing·Chaoyang District·Wangjing, 25-50K 16 salary, blue lake, Corporate service C round 100-499 people, 3-5 years undergraduate, Backend development," Stock options, employee travel, holiday benefits, five insurances and one housing fund, regular physical examination, year-end bonus, paid annual leave, meal allowance"
408, Shenzhen, 20-40K, Xiaobu Network,Mobile Internet B round 100-499 people, 3-5 years undergraduate, Backend development," Paid annual leave, afternoon tea with snacks, holiday benefits, five social insurances and one housing fund, employee travel, year-end bonuses, stock options, paid sick leave, regular medical examinations"
409, Shanghai, 11-22K, Huakai, Architectural design unfinanced 100-499 people, 3-5 years junior college, golang," Attendance bonus, regular physical examination, five insurances and one housing fund, holiday benefits, year-end bonus, paid annual leave, employee travel"
410, Chengdu·Jinjiang District·Hongxing Road, 20-40K 16 salary, Baidu," More than 10,000 people have been listed on the Internet", 5-10 years undergraduate, tensorflow," Transportation allowance, free shuttle bus, supplementary medical insurance, paid annual leave, year-end bonus, five insurances and one housing fund, overtime allowance, meal allowance, regular physical examination, employee travel, entertainment and fitness, holiday benefits, housing allowance, snacks, afternoon tea, communication allowance"
411, Beijing·Haidian District·Shuangyushu, 30-60K 15 salary, today's headlines," Mobile Internet D round and above more than 10,000 people", 3-5 years undergraduate, multi-Progress,"Five social insurances and one housing fund, communication allowance, supplementary medical insurance, full attendance bonus, transportation allowance, free shuttle bus, overtime allowance, stock options, employee travel, year-end bonus, housing allowance, holiday benefits, paid annual leave, regular medical examination, package meals, snacks afternoon tea"
412, Shenzhen·Baoan District·Xixiang, 20-40K, Xiaobu Network, Mobile Internet B round 100-499 people, 1-3 years undergraduate, golang," Paid annual leave, stock options, employee travel, holiday benefits, five social insurances and one housing fund, year-end bonus, regular physical examination, paid sick leave, afternoon tea with snacks"
413," Beijing, Haidian District, Wudaokou", 35-60K 15 salary, Know almost, Mobile Internet has been listed 1000-9999 people, 3-5 years undergraduate, Backend development," Afternoon tea with snacks, year-end bonus, paid annual leave, five social insurances and one housing fund, stock options, supplementary medical insurance, regular physical examination, employee travel, package meals, holiday benefits"
414, Shanghai·Changning District·Xinhua Road, 20-35K·14 salary, Digital Technology, Data service C round 100-499 people, 3-5 years undergraduate, distributed technology,"Apple computer office, holiday benefits, employee travel, entry medical examination, year-end bonus, supplementary medical insurance, overtime allowance, stock options, regular medical examination, paid sick leave, snack afternoon tea, five insurances and one housing fund, paid annual leave, enterprise qualification, taxi to reimburse"
